model,opt,d,params,batch_B,ncta_cap_SMs,nsys_kernel_per_step_ns,step_ms,achieved_tf_s,pct_of_989tfs_peak,arith_intensity_flop_per_byte,gemm_flops_per_step,bytes_moved_per_step,nsys_kernel_instances
decoder,adamw,1600,1475884899,128,8,3107771109.8,3107.7711,1.4579,0.1474,82.8249,4.5309e+12,5.4705e+10,35
decoder,grokadamw,1600,1475884899,128,8,3883362493.5,3883.3625,1.1668,0.1180,82.8249,4.5309e+12,5.4705e+10,35
decoder,grokfast,1600,1475884899,128,8,3366341078.7,3366.3411,1.3459,0.1361,82.8249,4.5309e+12,5.4705e+10,35
decoder,lion,1600,1475884899,128,8,2859988904.1,2859.9889,1.5842,0.1602,82.8249,4.5309e+12,5.4705e+10,35
decoder,neuralgrok,1600,1475884899,128,8,3964237128.3,3964.2371,1.1429,0.1156,82.8249,4.5309e+12,5.4705e+10,35
vit,adamw,1664,1596200417,64,4,37208147179.4,37208.1472,0.2798,0.0283,170.8499,1.0411e+13,6.0939e+10,8
vit,grokadamw,1664,1596200417,64,4,38660740887.8,38660.7409,0.2693,0.0272,170.8499,1.0411e+13,6.0939e+10,8
vit,grokfast,1664,1596200417,64,4,37789810500.6,37789.8105,0.2755,0.0279,170.8499,1.0411e+13,6.0939e+10,8
vit,lion,1664,1596200417,64,4,36699439930.4,36699.4399,0.2837,0.0287,170.8499,1.0411e+13,6.0939e+10,8
vit,neuralgrok,1664,1596200417,64,4,38482164706.6,38482.1647,0.2706,0.0274,170.8499,1.0411e+13,6.0939e+10,8
