optimizer,trial,state,value,peak_val_acc,final_test_acc,params
adamw,0,PRUNED,0.5076477015390992,,,"{""lr"": 0.0011576160601673156, ""beta1"": 0.8671865315032211, ""beta2"": 0.9922201245695225, ""weight_decay"": 0.34316742743792855}"
adamw,1,PRUNED,0.04248735588043928,,,"{""lr"": 0.00031411538064722306, ""beta1"": 0.9198343179022783, ""beta2"": 0.992323021071499, ""weight_decay"": 0.8189078675704613}"
adamw,2,FAIL,,,,"{""lr"": 0.00023294115464066322, ""beta1"": 0.8529877937694438, ""beta2"": 0.9988888656107743, ""weight_decay"": 0.3011369783934477}"
adamw,3,PRUNED,0.10833660420030355,,,"{""lr"": 0.003872639391054715, ""beta1"": 0.9080579177135406, ""beta2"": 0.9984848390636939, ""weight_decay"": 1.8645260030089423}"
adamw,4,PRUNED,0.03579713823273778,,,"{""lr"": 0.004112522890946545, ""beta1"": 0.9255909471852898, ""beta2"": 0.9623755273973886, ""weight_decay"": 3.4389417285360895}"
adamw,5,PRUNED,0.03854419197887182,,,"{""lr"": 0.0008565293722924722, ""beta1"": 0.9336803373557624, ""beta2"": 0.974510993649918, ""weight_decay"": 1.9548824288747957}"
adamw,6,PRUNED,0.04045612085610628,,,"{""lr"": 0.00038538796825530206, ""beta1"": 0.8736134842397059, ""beta2"": 0.9768614209297507, ""weight_decay"": 0.21558439401675056}"
adamw,7,PRUNED,0.3029294740408659,,,"{""lr"": 0.002688712893605852, ""beta1"": 0.8616506972333066, ""beta2"": 0.9848621204520889, ""weight_decay"": 0.9597756895390301}"
adamw,8,PRUNED,0.021018927451223135,,,"{""lr"": 0.002688712893605852, ""beta1"": 0.8616506972333066, ""beta2"": 0.9848621204520889, ""weight_decay"": 0.9597756895390301}"
adamw,9,PRUNED,0.021018927451223135,,,"{""lr"": 0.00038538796825530206, ""beta1"": 0.8736134842397059, ""beta2"": 0.9768614209297507, ""weight_decay"": 0.21558439401675056}"
adamw,10,PRUNED,0.021018927451223135,,,"{""lr"": 0.0011576160601673156, ""beta1"": 0.8671865315032211, ""beta2"": 0.9922201245695225, ""weight_decay"": 0.34316742743792855}"
adamw,11,FAIL,,,,"{""lr"": 0.00031411538064722306, ""beta1"": 0.9198343179022783, ""beta2"": 0.992323021071499, ""weight_decay"": 0.8189078675704613}"
adamw,12,PRUNED,0.021018927451223135,,,"{""lr"": 0.0008565293722924722, ""beta1"": 0.9336803373557624, ""beta2"": 0.974510993649918, ""weight_decay"": 1.9548824288747957}"
adamw,13,PRUNED,0.021018927451223135,,,"{""lr"": 0.004112522890946545, ""beta1"": 0.9255909471852898, ""beta2"": 0.9623755273973886, ""weight_decay"": 3.4389417285360895}"
adamw,14,PRUNED,0.021018927451223135,,,"{""lr"": 0.00023294115464066322, ""beta1"": 0.8529877937694438, ""beta2"": 0.9988888656107743, ""weight_decay"": 0.3011369783934477}"
adamw,15,PRUNED,0.021018927451223135,,,"{""lr"": 0.003872639391054715, ""beta1"": 0.9080579177135406, ""beta2"": 0.9984848390636939, ""weight_decay"": 1.8645260030089423}"
adamw,16,PRUNED,0.5150537639856339,,,"{""lr"": 0.001502888897417783, ""beta1"": 0.8608187501552903, ""beta2"": 0.9640673774133547, ""weight_decay"": 0.36830508732158423}"
adamw,17,PRUNED,0.42390297167003155,,,"{""lr"": 0.0008623322670206282, ""beta1"": 0.8573440692904533, ""beta2"": 0.9942035505445939, ""weight_decay"": 2.5597536592516743}"
adamw,18,PRUNED,0.5077670002356172,,,"{""lr"": 0.0008789875643588505, ""beta1"": 0.858873475872205, ""beta2"": 0.957998602487153, ""weight_decay"": 0.3159244658854946}"
adamw,19,PRUNED,0.364954833406955,,,"{""lr"": 0.00039161864058967293, ""beta1"": 0.9216966435527597, ""beta2"": 0.9708224658585687, ""weight_decay"": 0.24608640666668777}"
adamw,20,PRUNED,0.5065739834681153,,,"{""lr"": 0.000977269578636293, ""beta1"": 0.8659619549319539, ""beta2"": 0.9607827787294425, ""weight_decay"": 0.410828282841727}"
adamw,21,PRUNED,0.04236189555376768,,,"{""lr"": 0.0002129564451036667, ""beta1"": 0.8670040337981031, ""beta2"": 0.9576941180506675, ""weight_decay"": 0.6091183677736135}"
adamw,22,PRUNED,0.5041817468591034,,,"{""lr"": 0.001574641852330515, ""beta1"": 0.8511273485796643, ""beta2"": 0.9560665995947748, ""weight_decay"": 0.7300263635154179}"
neuralgrok,0,PRUNED,,,,"{""lr"": 0.002688712893605852, ""neural_alpha"": 2.7419076764296224, ""neural_beta"": 7.338567354925254, ""neural_grad_clip"": 1.8088471287364318, ""weight_decay"": 0.320776422120854}"
neuralgrok,1,PRUNED,,,,"{""lr"": 0.00031411538064722306, ""neural_alpha"": 13.253949280815302, ""neural_beta"": 8.69509474027253, ""neural_grad_clip"": 1.6763853445887404, ""weight_decay"": 0.2742491224932419}"
neuralgrok,2,FAIL,,,,{}
neuralgrok,3,PRUNED,,,,"{""lr"": 0.003872639391054715, ""neural_alpha"": 9.634830773222056, ""neural_beta"": 9.815425284307974, ""neural_grad_clip"": 2.3630209373618687, ""weight_decay"": 3.0760669060789647}"
neuralgrok,4,PRUNED,,,,"{""lr"": 0.0008565293722924722, ""neural_alpha"": 19.28355624289931, ""neural_beta"": 5.4565442999850955, ""neural_grad_clip"": 2.402513106315949, ""weight_decay"": 0.4419155679144035}"
neuralgrok,5,PRUNED,,,,"{""lr"": 0.00038538796825530206, ""neural_alpha"": 3.7909330949992865, ""neural_beta"": 5.883894714500133, ""neural_grad_clip"": 0.5626183175333517, ""weight_decay"": 0.7393249364983644}"
